,Species,Number of Specimens
0,Glyphorynchus spirurus,1297
1,Dixiphia pipra,1067
2,Willisornis poecilinotus,855
3,Pithys albifrons,735
4,Lepidothrix coronata,523
5,Xenopipo atronitens,516
6,Myrmotherula axillaris,444
7,Thamnomanes caesius,422
8,Dendrocincla merula,402
9,Elaenia ruficeps,355
10,Dendrocincla fuliginosa,300
11,Gymnopithys rufigula,296
12,Xiphorhynchus pardalotus,293
13,Myrmoborus myotherinus,290
14,Ceratopipra rubrocapilla,283
15,Myrmotherula longipennis,282
16,Tachyphonus phoenicius,275
17,Turdus albicollis,273
18,Mionectes macconnelli,270
19,Formicarius colma,253
20,Oneillornis salvini,251
21,Mionectes oleagineus,244
22,Hypocnemis cantator,236
23,Epinecrophylla haematonota,233
24,Thamnomanes ardesiacus,223
25,Geotrygon montana,217
26,Corapipo gutturalis,215
27,Lepidothrix nattereri,212
28,Percnostola rufifrons,204
29,Formicivora grisea,201
30,Ceratopipra erythrocephala,194
31,Schiffornis turdina,182
32,Lepidothrix serena,181
33,Xenops minutus,173
34,Hylophylax naevius,172
35,Certhiasomus stictolaemus,161
36,Isleria hauxwelli,161
37,Thamnophilus aethiops,157
38,Xiphorhynchus elegans,152
39,Phlegopsis nigromaculata,146
40,Thamnomanes saturninus,141
41,Automolus infuscatus,140
42,Pipra filicauda,129
43,Thalurania furcata,120
44,Hypocnemis striata,120
45,Elaenia cristata,120
46,Lanio surinamus,117
47,Onychorhynchus coronatus,116
48,Hypocnemoides melanopogon,115
49,Thamnophilus murinus,113
50,Thamnophilus nigrocinereus,106
51,Epinecrophylla leucophthalma,103
52,Pipra fasciicauda,102
53,Phaethornis superciliosus,101
54,Myrmotherula menetriesii,99
55,Tunchiornis ochraceiceps,95
56,Rhegmatorhina melanosticta,94
57,Myiobius barbatus,94
58,Terenotriccus erythrurus,92
59,Schistochlamys melanopis,89
60,Platyrinchus coronatus,88
61,Cyphorhinus arada,87
62,Attila spadiceus,87
63,Epinecrophylla gutturalis,87
64,Tyrannus melancholicus,87
65,Gymnopithys leucaspis,86
66,Cyanoloxia rothschildii,86
67,Platyrinchus platyrhynchos,85
68,Phaethornis bourcieri,84
69,Deconychura longicauda,84
70,Chiroxiphia pareola,83
71,Brotogeris sanctithomae,81
72,Polytmus theresiae,78
73,Xiphorhynchus obsoletus,77
74,Megastictus margaritatus,77
75,Dendrocolaptes certhia,75
76,Ramphocelus carbo,75
77,Myrmoborus lugubris,75
78,Hemitriccus minor,74
79,Sclerurus rufigularis,74
80,Malacoptila rufa,73
81,Momotus momota,70
82,Synallaxis rutilans,69
83,Arremon taciturnus,68
84,Corythopis torquatus,67
85,Manacus manacus,67
86,Conopophaga aurita,65
87,Habia rubica,65
88,Chloroceryle aenea,62
89,Xiphorhynchus guttatus,62
90,Cnemotriccus fuscatus,62
91,Thamnophilus amazonicus,62
92,Microcerculus marginatus,62
93,Automolus ochrolaemus,61
94,Galbula cyanicollis,60
95,Galbula albirostris,60
96,Hypocnemis hypoxantha,59
97,Platyrinchus saturatus,59
98,Myrmotherula assimilis,59
99,Phlegopsis erythroptera,58
100,Pheugopedius coraya,57
101,Xiphorhynchus ocellatus,56
102,Isleria guttata,56
103,Thamnophilus schistaceus,55
