,Number of Specimens,Percentage
Glyphorynchus,1301,4.911287278218195
Dixiphia,1069,4.035485088712722
Lepidothrix,1005,3.7938844847112114
Myrmotherula,979,3.6957342393355983
Willisornis,861,3.250283125707814
Thamnomanes,805,3.038882597206493
Xiphorhynchus,739,2.789731974329936
Pithys,738,2.7859569648924123
Dendrocincla,707,2.668931672329181
Thamnophilus,580,2.1895054737636843
Elaenia,567,2.140430351075878
Mionectes,541,2.0422801057002644
Xenopipo,531,2.0045300113250284
Ceratopipra,511,1.9290298225745566
Hypocnemis,486,1.8346545866364665
Epinecrophylla,458,1.7289543223858057
Phaethornis,441,1.664779161947905
Turdus,441,1.664779161947905
Myrmoborus,421,1.5892789731974328
Gymnopithys,382,1.4420536051340127
Tachyphonus,304,1.1476028690071725
Pyrrhura,302,1.1400528501321254
Schiffornis,291,1.098527746319366
Automolus,280,1.0570026425066061
Formicarius,269,1.0154775386938466
Platyrinchus,251,0.947527368818422
Oneillornis,251,0.947527368818422
Percnostola,242,0.9135522838807096
Pipra,234,0.883352208380521
Geotrygon,229,0.8644771611929029
Isleria,217,0.8191770479426199
Corapipo,215,0.8116270290675727
Rhegmatorhina,213,0.8040770101925255
Hylophylax,211,0.7965269913174783
Phlegopsis,209,0.7889769724424311
Formicivora,206,0.7776519441298604
Xenops,177,0.6681766704416762
Galbula,177,0.6681766704416762
Lanio,173,0.6530766326915818
Hypocnemoides,167,0.6304265760664401
Hemitriccus,164,0.6191015477538694
Sclerurus,162,0.6115515288788221
Certhiasomus,161,0.6077765194412986
Synallaxis,124,0.4681011702529257
Thalurania,120,0.4530011325028313
Dendrocolaptes,118,0.4454511136277841
Onychorhynchus,116,0.4379010947527369
Brotogeris,116,0.4379010947527369
Philydor,109,0.4114760286900717
Attila,108,0.40770101925254815
Cercomacroides,106,0.40015100037750095
Tyrannus,103,0.3888259720649302
Sicalis,100,0.3775009437523594
Myrmelastes,96,0.362400906002265
Malacoptila,96,0.362400906002265
Picumnus,96,0.362400906002265
Tunchiornis,95,0.3586258965647414
Myiobius,95,0.3586258965647414
Terenotriccus,93,0.3510758776896942
Chloroceryle,89,0.33597583993959984
Schistochlamys,89,0.33597583993959984
Tolmomyias,88,0.33220083050207627
Tangara,88,0.33220083050207627
Deconychura,87,0.32842582106455265
Chiroxiphia,87,0.32842582106455265
Cyphorhinus,87,0.32842582106455265
Cyanoloxia,86,0.3246508116270291
Pheugopedius,85,0.32087580218950545
Trogon,84,0.3171007927519819
Celeus,80,0.3020007550018875
Ramphocelus,80,0.3020007550018875
Sporophila,80,0.3020007550018875
Polytmus,78,0.2944507361268403
Megastictus,77,0.29067572668931674
Monasa,76,0.2869007172517931
Microcerculus,76,0.2869007172517931
Heterocercus,75,0.28312570781426954
Conopophaga,74,0.2793506983767459
Manacus,70,0.26425066062665153
Momotus,70,0.26425066062665153
Cnemotriccus,70,0.26425066062665153
Dendroplex,68,0.25670064175160434
Arremon,68,0.25670064175160434
Corythopis,67,0.2529256323140808
Habia,65,0.2453756134390336
Amazilia,62,0.23405058512646285
Pteroglossus,58,0.21895054737636846
Coereba,54,0.20385050962627407
Hylexetastes,53,0.20007550018875048
Cantorchilus,52,0.19630049075122688
Sciaphylax,52,0.19630049075122688
Rhytipterna,50,0.1887504718761797
Sakesphorus,50,0.1887504718761797
Heliodoxa,50,0.1887504718761797
Cercomacra,50,0.1887504718761797
Herpsilochmus,50,0.1887504718761797
Microbates,49,0.1849754624386561
Ramphotrigon,48,0.1812004530011325
Frederickena,47,0.1774254435636089
Rhynchocyclus,46,0.17365043412608533
Cranioleuca,45,0.16987542468856173
Myiothlypis,45,0.16987542468856173
Saltator,44,0.16610041525103814
Pachyramphus,44,0.16610041525103814
Micrastur,44,0.16610041525103814
Knipolegus,43,0.16232540581351454
Campylopterus,43,0.16232540581351454
Bucco,43,0.16232540581351454
Euphonia,43,0.16232540581351454
Campylorhamphus,41,0.15477538693846735
Dichrozona,39,0.14722536806342015
Leptotila,39,0.14722536806342015
Capito,38,0.14345035862589656
Conirostrum,37,0.13967534918837296
Threnetes,36,0.13590033975084936
Eucometis,36,0.13590033975084936
Hafferia,34,0.12835032087580217
Myiarchus,34,0.12835032087580217
Myiopagis,34,0.12835032087580217
Catharus,33,0.1245753114382786
Sittasomus,32,0.120800302000755
Cymbilaimus,32,0.120800302000755
Nyctidromus,32,0.120800302000755
Cyanerpes,30,0.11325028312570783
Myrmoderus,30,0.11325028312570783
Glaucis,30,0.11325028312570783
Troglodytes,30,0.11325028312570783
Machaeropterus,30,0.11325028312570783
Myrmophylax,29,0.10947527368818423
Lathrotriccus,28,0.10570026425066063
Lophotriccus,27,0.10192525481313704
Stigmatura,27,0.10192525481313704
Pygiptila,27,0.10192525481313704
Nyctiprogne,27,0.10192525481313704
Veniliornis,27,0.10192525481313704
Hylophilus,27,0.10192525481313704
Cnipodectes,26,0.09815024537561344
Vireo,26,0.09815024537561344
Rupornis,26,0.09815024537561344
Hydropsalis,25,0.09437523593808984
Megascops,24,0.09060022650056625
Todirostrum,24,0.09060022650056625
Sclateria,24,0.09060022650056625
Dacnis,23,0.08682521706304266
Piculus,22,0.08305020762551907
Ramphastos,22,0.08305020762551907
Neopelma,22,0.08305020762551907
Emberizoides,22,0.08305020762551907
Lipaugus,22,0.08305020762551907
Zimmerius,21,0.07927519818799547
Cathartes,21,0.07927519818799547
Microrhopias,21,0.07927519818799547
Certhiaxis,21,0.07927519818799547
Poecilotriccus,21,0.07927519818799547
