,Genus,Samples
99,Actitis,1
131,Anurolimnas,1
104,Arundinicola,1
103,Aulacorhynchus,1
105,Bartramia,1
110,Buteogallus,1
135,Chamaeza,1
101,Chondrohierax,1
111,Colinus,1
116,Colonia,1
150,Coryphospingus,1
123,Daptrius,1
140,Dendrexetastes,1
138,Deroptyus,1
142,Dromococcyx,1
141,Euchrepomis,1
119,Gelochelidon,1
143,Geranoaetus,1
108,Grallaricula,1
117,Griseotyrannus,1
127,Gymnoderus,1
133,Gymnomystax,1
145,Himantopus,1
147,Ibycter,1
113,Ictinia,1
134,Iodopleura,1
106,Larus,1
107,Leptodon,1
129,Leucochloris,1
121,Lochmias,1
151,Micropygia,1
126,Morphnus,1
122,Muscisaxicola,1
97,Nothocrax,1
152,Odontorchilus,1
102,Oxyruncus,1
149,Passerina,1
130,Perissocephalus,1
132,Phaetusa,1
112,Pseudastur,1
144,Psittacidae,1
124,Pyrocephalus,1
139,Sirystes,1
100,Spiza,1
148,Syrigma,1
128,Taeniotriccus,1
125,Terenura,1
137,Theristicus,1
115,Trichothraupis,1
98,Tyrannopsis,1
114,Urubitinga,1
118,Vanellus,1
136,Xenopsaris,1
109,Zebrilus,1
120,Zenaida,1
146,myrmotherula,1
92,Agamia,2
70,Amazonetta,2
76,Anhima,2
71,Anhinga,2
69,Aramus,2
66,Aratinga,2
83,Atalotriccus,2
67,Athene,2
86,Claravis,2
96,Cypseloides,2
68,Discosura,2
94,Egretta,2
80,Gallinago,2
87,Harpagus,2
91,Jacana,2
90,Lampropsar,2
85,Lamprospiza,2
88,Leucippus,2
77,Macroagelaius,2
93,Molothrus,2
79,Pandion,2
84,Phyllomyias,2
95,Pionites,2
74,Pipreola,2
72,Pipridae,2
73,Spinus,2
78,Spizaetus,2
89,Tachornis,2
81,Thamnophilidae,2
82,Thlypopsis,2
65,Touit,2
75,Xipholena,2
51,Aburria,3
45,Aramides,3
36,Berlepschia,3
40,Butorides,3
23,Campylorhynchus,3
41,Caprimulgidae,3
46,Caprimulgus,3
48,Cochlearius,3
55,Cyanicterus,3
60,Diglossa,3
49,Drymophila,3
47,Electron,3
53,Eurypyga,3
64,Falco,3
54,Geranospiza,3
34,Harpia,3
30,Heterospizias,3
44,Lophornis,3
59,Megaceryle,3
58,Metopothrix,3
27,Milvago,3
37,Mitrospingus,3
26,Myrmeciza,3
57,Nannopterum,3
31,Nyctiphrynus,3
32,Opisthocomus,3
63,Ornithion,3
56,Orthopsittaca,3
28,Parkesia,3
24,Pharomachrus,3
33,Phylloscartes,3
62,Podager,3
61,Procacicus,3
43,Ramphodon,3
25,Riparia,3
52,Rostrhamus,3
50,Rupicola,3
38,Tachycineta,3
39,Tiaris,3
42,Tringa,3
29,Trochilidae,3
35,Tyrannidae,3
19,Antrostomus,4
7,Ardea,4
6,Arremonops,4
2,Atticora,4
20,Campephilus,4
22,Clibanornis,4
9,Colibri,4
0,Contopus,4
13,Donacobius,4
15,Doryfera,4
18,Dryocopus,4
16,Eubucco,4
5,Eupsittula,4
3,Granatellus,4
8,Graydidascalus,4
10,Laterallus,4
1,Liosceles,4
4,Neocrex,4
17,Neopipo,4
11,Querula,4
12,Sublegatus,4
14,Syndactyla,4
21,Tigrisoma,4
