Species,Number of Specimens,Percentage
Glyphorynchus spirurus,1301,4.966407085051153
Dixiphia pipra,1068,4.07695831424645
Willisornis poecilinotus,856,3.2676744541151317
Pithys albifrons,738,2.8172240036646814
Xenopipo atronitens,527,2.0117575202320963
Lepidothrix coronata,523,1.996488013437166
Myrmotherula axillaris,445,1.698732630936021
Thamnomanes caesius,422,1.6109329668651702
Dendrocincla merula,402,1.5345854328905177
Elaenia ruficeps,355,1.355168728050084
Dendrocincla fuliginosa,300,1.1452130096197892
Gymnopithys rufigula,296,1.1299435028248588
Xiphorhynchus pardalotus,293,1.118491372728661
Myrmoborus myotherinus,290,1.1070392426324631
Ceratopipra rubrocapilla,283,1.0803176057413346
Myrmotherula longipennis,282,1.076500229042602
Pyrrhura griseipectus,281,1.0726828523438692
Tachyphonus phoenicius,281,1.0726828523438692
Turdus albicollis,280,1.0688654756451368
Mionectes macconnelli,271,1.034509085356543
Formicarius colma,253,0.9657963047793556
Oneillornis salvini,251,0.9581615513818904
Mionectes oleagineus,244,0.931439914490762
Hypocnemis cantator,236,0.9009009009009009
Epinecrophylla haematonota,233,0.889448770804703
Geotrygon montana,227,0.8665445106123073
Thamnomanes ardesiacus,223,0.8512750038173768
Corapipo gutturalis,215,0.8207359902275156
Lepidothrix nattereri,212,0.8092838601313178
Percnostola rufifrons,204,0.7787448465414567
Formicivora grisea,202,0.7711100931439914
Ceratopipra erythrocephala,194,0.7405710795541304
Schiffornis turdina,183,0.6985799358680714
Lepidothrix serena,181,0.6909451824706062
Xenops minutus,173,0.6604061688807452
Hylophylax naevius,172,0.6565887921820125
Certhiasomus stictolaemus,161,0.6145976484959537
Isleria hauxwelli,161,0.6145976484959537
Thamnophilus aethiops,157,0.5993281417010231
Xiphorhynchus elegans,153,0.5840586349060926
Phlegopsis nigromaculata,146,0.5573369980149641
Thamnomanes saturninus,141,0.538250114521301
Automolus infuscatus,140,0.5344327378225684
Pipra filicauda,129,0.4924415941365094
Elaenia cristata,120,0.45808520384791573
Hypocnemis striata,120,0.45808520384791573
Thalurania furcata,120,0.45808520384791573
Lanio surinamus,118,0.45045045045045046
Onychorhynchus coronatus,116,0.4428156970529852
Hypocnemoides melanopogon,115,0.43899832035425257
Thamnophilus murinus,113,0.4313635669567873
Thamnophilus nigrocinereus,106,0.4046419300656589
Epinecrophylla leucophthalma,103,0.393189799969461
Pipra fasciicauda,102,0.38937242327072835
Phaethornis superciliosus,101,0.3855550465719957
Myrmotherula menetriesii,99,0.37792029317453046
Tunchiornis ochraceiceps,95,0.3626507863795999
Myiobius barbatus,94,0.3588334096808673
Rhegmatorhina melanosticta,94,0.3588334096808673
Sicalis flaveola,94,0.3588334096808673
Terenotriccus erythrurus,93,0.35501603298213463
Platyrinchus coronatus,89,0.33974652618720413
Schistochlamys melanopis,89,0.33974652618720413
Attila spadiceus,87,0.33211177278973886
Cyphorhinus arada,87,0.33211177278973886
Epinecrophylla gutturalis,87,0.33211177278973886
Tyrannus melancholicus,87,0.33211177278973886
Cyanoloxia rothschildii,86,0.32829439609100625
Gymnopithys leucaspis,86,0.32829439609100625
Platyrinchus platyrhynchos,85,0.32447701939227364
Deconychura longicauda,84,0.320659642693541
Phaethornis bourcieri,84,0.320659642693541
Brotogeris sanctithomae,83,0.31684226599480836
Chiroxiphia pareola,83,0.31684226599480836
Hemitriccus minor,79,0.3015727591998778
Polytmus theresiae,78,0.2977553825011452
Megastictus margaritatus,77,0.2939380058024126
Xiphorhynchus obsoletus,77,0.2939380058024126
Dendrocolaptes certhia,75,0.2863032524049473
Myrmoborus lugubris,75,0.2863032524049473
Ramphocelus carbo,75,0.2863032524049473
Sclerurus rufigularis,74,0.2824858757062147
Malacoptila rufa,73,0.27866849900748203
Manacus manacus,70,0.2672163689112842
Momotus momota,70,0.2672163689112842
Synallaxis rutilans,69,0.26339899221255153
Arremon taciturnus,68,0.2595816155138189
Corythopis torquatus,67,0.25576423881508625
Cnemotriccus fuscatus,65,0.248129485417621
Conopophaga aurita,65,0.248129485417621
Habia rubica,65,0.248129485417621
Xiphorhynchus guttatus,63,0.24049473202015578
Chloroceryle aenea,62,0.23667735532142314
Microcerculus marginatus,62,0.23667735532142314
Thamnophilus amazonicus,62,0.23667735532142314
Automolus ochrolaemus,61,0.2328599786226905
Galbula albirostris,60,0.22904260192395787
Galbula cyanicollis,60,0.22904260192395787
Platyrinchus saturatus,60,0.22904260192395787
Hypocnemis hypoxantha,59,0.22522522522522523
Myrmotherula assimilis,59,0.22522522522522523
Phlegopsis erythroptera,58,0.2214078485264926
Pheugopedius coraya,57,0.21759047182775995
